round_epochs,val_loss,val_iou,val_iou_thresholded,loss,iou,iou_thresholded,activation,batch_size,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,shapes
1,0.1628286362177244,0.8788625001907349,0.9231888651847839,0.16386153496245132,0.86388963,0.9147425,relu,1,0.2,1,16,32,logcosh,2,Adam,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,2,Adam,softmax,brick
1,0.1612430750288897,0.9199118614196777,0.94410240650177,0.13024542708429604,0.8886743,0.9355623,relu,1,0.2,1,16,32,logcosh,2,AdaDelta,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,2,AdaDelta,softmax,brick
1,0.150165857333276,0.9138759970664978,0.9356456995010376,0.17234089308742595,0.8614423,0.9150604,relu,1,0.2,1,16,32,logcosh,3,Adam,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,3,Adam,softmax,brick
1,0.14616614577394946,0.8971410989761353,0.940833568572998,0.15530565905492807,0.8736033,0.9213318,relu,1,0.2,1,16,32,logcosh,3,AdaDelta,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,3,AdaDelta,softmax,brick
1,0.15832242920166917,0.9107038974761963,0.9348792433738708,0.1550454628403596,0.86447155,0.9196169,relu,1,0.2,1,16,32,logcosh,4,Adam,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,4,Adam,softmax,brick
1,0.25094082593503925,0.8279370069503784,0.8926231265068054,0.14247850460756945,0.8788162,0.9297224,relu,1,0.2,1,16,32,logcosh,4,AdaDelta,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,4,AdaDelta,softmax,brick
1,0.19309475764770198,0.8859084248542786,0.9223774075508118,0.13967915515405005,0.8804389,0.92722225,relu,1,0.2,1,16,32,logcosh,5,Adam,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,5,Adam,softmax,brick
1,0.21389728602090918,0.8747374415397644,0.9028492569923401,0.12488088139668936,0.8918098,0.9358113,relu,1,0.2,1,16,32,logcosh,5,AdaDelta,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,16,32,logcosh,5,AdaDelta,softmax,brick
1,0.18600283750436372,0.8884592652320862,0.9071225523948669,0.12979886125453374,0.8924315,0.9300129,relu,1,0.2,1,32,32,logcosh,2,Adam,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,32,32,logcosh,2,Adam,softmax,brick
1,0.4001490168100982,0.7883365750312805,0.8229762315750122,0.11716893975088441,0.9075719,0.94095117,relu,1,0.2,1,32,32,logcosh,2,AdaDelta,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,32,32,logcosh,2,AdaDelta,softmax,brick
1,0.13524912214596516,0.9083383083343506,0.931121289730072,0.14819544364382856,0.87907255,0.92214435,relu,1,0.2,1,32,32,logcosh,3,Adam,sigmoid,brick
1,3.4584160681124088,0.7744516134262085,0.7744516134262085,5.361407011415697,0.650343,0.650343,relu,1,0.2,1,32,32,logcosh,3,Adam,softmax,brick
