round_epochs,val_loss,val_iou,val_iou_thresholded,loss,iou,iou_thresholded,activation,batch_size,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,shapes
20,0.06832068632874223,0.9603239893913269,0.9691277146339417,0.03315341690575944,0.9708631,0.9797789,relu,2,0.2,20,16,32,logcosh,5,AdaDelta,sigmoid,brick
20,0.19205990902803563,0.8883000016212463,0.9293244481086731,0.04975547145797452,0.9587288,0.97144604,relu,2,0.2,20,32,32,logcosh,2,Adam,sigmoid,brick
20,0.1295927361274759,0.9422731995582581,0.9514845013618469,0.035798930597087344,0.96947247,0.9790103,relu,2,0.2,20,32,32,logcosh,2,AdaDelta,sigmoid,brick
20,0.14089990001585748,0.9345598220825195,0.9494063854217529,0.04584945399841273,0.9602867,0.9732353,relu,2,0.2,20,32,32,logcosh,3,Adam,sigmoid,brick
20,0.1427544726403775,0.9193093180656433,0.9284497499465942,0.0332041699024708,0.97122824,0.9798181,relu,2,0.2,20,32,32,logcosh,3,AdaDelta,sigmoid,brick
20,0.11517697028401826,0.9321113228797913,0.9451839923858643,0.05064978620218075,0.958204,0.971129,relu,2,0.2,20,32,32,logcosh,4,Adam,sigmoid,brick
20,0.21809581669944303,0.9009465575218201,0.9087588787078857,0.03481805160795657,0.9705549,0.979334,relu,2,0.2,20,32,32,logcosh,4,AdaDelta,sigmoid,brick
20,0.19600015146036942,0.8966934680938721,0.9133703112602234,0.04598979015548866,0.96193403,0.97414154,relu,2,0.2,20,32,32,logcosh,5,Adam,sigmoid,brick
20,0.10949501512158248,0.9428479671478271,0.9511393308639526,0.0333781823610653,0.97192895,0.98054945,relu,2,0.2,20,32,32,logcosh,5,AdaDelta,sigmoid,brick
20,0.1250149668228847,0.9270308613777161,0.9507564902305603,0.047922273736524086,0.9600912,0.9735745,relu,2,0.2,20,64,32,logcosh,2,Adam,sigmoid,brick
20,0.09923642124566767,0.937640368938446,0.9463223218917847,0.03745644463489753,0.9694521,0.97878844,relu,2,0.2,20,64,32,logcosh,2,AdaDelta,sigmoid,brick
20,0.18125727409841838,0.9046311974525452,0.9185367822647095,0.048924908287740286,0.9592206,0.9721957,relu,2,0.2,20,64,32,logcosh,3,Adam,sigmoid,brick
20,0.09987054595516788,0.9441807866096497,0.9518564939498901,0.03241283648657733,0.9723437,0.9805834,relu,2,0.2,20,64,32,logcosh,3,AdaDelta,sigmoid,brick
20,0.0874376222629238,0.9470540285110474,0.9579838514328003,0.0431310553310975,0.9628657,0.97510415,relu,2,0.2,20,64,32,logcosh,4,Adam,sigmoid,brick
20,0.1089452115887845,0.9340505599975586,0.9410962462425232,0.03232947352604381,0.9719737,0.98067683,relu,2,0.2,20,64,32,logcosh,4,AdaDelta,sigmoid,brick
20,0.13559089828006649,0.9165821671485901,0.9368568062782288,0.0493459513644867,0.95777076,0.9717135,relu,2,0.2,20,64,32,logcosh,5,Adam,sigmoid,brick
20,0.07568567389001449,0.948875367641449,0.9586026668548584,0.03220250257046594,0.97210664,0.9802402,relu,2,0.2,20,64,32,logcosh,5,AdaDelta,sigmoid,brick
50,0.19152300842106343,0.8944543600082397,0.9048004746437073,0.03839595716991514,0.9664034,0.9780495,relu,2,0.2,50,16,32,logcosh,2,Adam,sigmoid,brick
