round_epochs,loss,accuracy,val_loss,val_accuracy,Name,activation,batch_size,cell1,cell2,curversion,db,dbnumber,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,rootpath,shapes,shuff,size
1,1.4959511275194128,0.40484694,1.3902092933654786,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4795234981848269,0.41632652,1.3821793079376221,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5025633884935963,0.39617348,1.379854393005371,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4976112579812808,0.39642859,1.3828063011169434,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4660704948464218,0.41811225,1.3770102977752685,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4569712852945134,0.43163267,1.3810163259506225,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.484806868008205,0.41096938,1.3754465341567994,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4655695657340848,0.4278061,1.3817680120468139,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5093877695044693,0.3997449,1.3876718044281007,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5764872585024152,0.35382652,1.3871902465820312,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5322561307829254,0.40484694,1.3716625690460205,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5584755264982886,0.38163266,1.386723279953003,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4821296288042651,0.40765306,1.3793361186981201,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.4707547985777563,0.42857143,1.3757455825805665,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5681394484578346,0.3737245,1.3768705606460572,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.499131738409704,0.4127551,1.3756217002868651,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5354228374909382,0.375,1.4473391771316528,0.5,modelStandard,relu,8,40,30,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5550149314257564,0.34770408,1.4424949884414673,0.5,modelStandard,relu,8,40,30,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5520510741642544,0.34872448,1.4382405281066895,0.5,modelStandard,relu,8,40,30,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.6019889880199822,0.3502551,1.4429242610931396,0.5,modelStandard,relu,8,40,30,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5275568820992294,0.3627551,1.4288537502288818,0.5,modelStandard,relu,8,40,50,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5197199607382015,0.37040818,1.4241632223129272,0.5,modelStandard,relu,8,40,50,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5453960905269701,0.34540817,1.4384925365447998,0.5,modelStandard,relu,8,40,50,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5177872258789686,0.38265306,1.4276304244995117,0.5,modelStandard,relu,8,40,50,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.5753878656698732,0.3242347,1.44126296043396,0.5,modelStandard,relu,8,60,30,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.54375003308666,0.36964285,1.4287115335464478,0.5,modelStandard,relu,8,60,30,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.6000178823665696,0.34336734,1.456342101097107,0.5,modelStandard,relu,8,60,30,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
